danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,tsne-2d-one,tsne-2d-two
0.7809999999999999,0.762,10,-5.188,0,0.0626,0.0222,0.0,0.121,0.86,110.042,0,4.0003443,1.9722675
0.674,0.64,0,-5.138999999999999,0,0.0339,0.151,0.0,0.0925,0.664,99.90799999999999,2,7.2129474,7.074764
0.643,0.667,0,-6.992999999999999,0,0.152,0.0433,0.0,0.0904,0.485,145.999,3,-7.1085196,-8.217609
0.583,0.8170000000000001,9,-5.146,0,0.0987,0.11800000000000001,0.0,0.33799999999999997,0.43799999999999994,105.936,0,4.5534067,3.744051
0.72,0.8240000000000001,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.33299999999999996,165.998,1,-10.793225,-9.549808
0.5660000000000001,0.5479999999999999,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999,1,-9.166894,-9.573398
0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.332,134.953,3,-5.927233,-4.4857907
0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.648,79.98,2,11.634628,7.86849
0.703,0.6459999999999999,6,-6.6579999999999995,1,0.0596,0.0104,0.0,0.191,0.64,141.87,3,-7.263281,-6.4355645
0.6609999999999999,0.84,0,-4.805,1,0.11599999999999999,0.00485,0.0,0.287,0.524,91.45700000000001,2,9.217481,7.960512
0.526,0.575,9,-5.215,0,0.0309,0.225,0.0,0.10800000000000001,0.19,84.04700000000001,2,10.7208395,9.02139
0.8079999999999999,0.903,0,-3.1060000000000003,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988,0,-0.33348954,1.3253171
0.591,0.848,9,-4.397,0,0.0828,0.13699999999999998,0.0,0.37200000000000005,0.386,105.92200000000001,0,4.8370166,3.2371438
0.469,0.87,9,-4.475,0,0.342,0.0278,0.0,0.313,0.652,86.62200000000001,2,10.1110325,8.879415
0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,0,0.076886095,-1.3908587
0.58,0.858,8,-5.212000000000001,1,0.114,0.125,0.0,0.0502,0.475,174.03900000000002,1,-11.3748865,-10.417017
0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766,0,5.059153,4.140287
