track_id,name,album_id,track_number,duration_ms,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),0ZI6Q1QJSYdeEQPvKzX1XR,1,226321,https://p.scdn.co/mp3-preview/fd5b0ad0cbe5fb2bc20db19b89679699f9312715?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551
6woeVu3fVMflqen1t4N6pg,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,7CQho9XJ69KLTUdM9vUZyW,1,114133,https://p.scdn.co/mp3-preview/3bc62106123fcafad475271e72e74cd7f519ab83?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.89,0.513,1,-5.996,1,0.154,0.0706,0.0,0.102,0.61,136.02
44vXWYTcdrejrIQZEoHzl8,Lights,0rHMQLHyw0Bt17fRTJEqh6,1,292773,https://p.scdn.co/mp3-preview/e9767d93182b5c92a280d6444070f969c2fd2c3e?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.625,0.663,5,-5.115,1,0.0302,0.112,0.0,0.105,0.398,98.998
2Ya8bityItATB8WNxaaed1,Boy With Luv - Japanese ver.,0rHMQLHyw0Bt17fRTJEqh6,2,231226,https://p.scdn.co/mp3-preview/31504271a400c9c9253359a5eb428ffbcb8ad133?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.677,0.843,11,-5.087,0,0.0795,0.131,0.0,0.204,0.807,119.968
7IeoEVVNdCXHeILYk2Yxsr,IDOL - Japanese ver.,0rHMQLHyw0Bt17fRTJEqh6,3,222173,https://p.scdn.co/mp3-preview/fa7f6e680c52237b0ec6a4ae86019ebdddad1a49?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.714,0.844,6,-3.472,0,0.117,0.00176,0.0,0.147,0.424,126.0
70sKIAQgaVN2zWEEyOpyMZ,All Night (BTS World Original Soundtrack) [Pt. 3],53dPHVEHHiHZusK0l4q26R,1,216873,https://p.scdn.co/mp3-preview/f36ab372d7bfa061dd98af9bcb93bcb77f80b446?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.725,0.706,5,-4.766,1,0.121,0.193,0.0,0.109,0.667,120.042
5XkyZyKMdFungjDb9cUKc3,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],0rjtptJthJcLrK7uYcDH2Z,1,205019,https://p.scdn.co/mp3-preview/1e657a39a76a1a270fbe8b8ad6b4bd2f15b5d18d?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.804,0.498,8,-7.387,0,0.0571,0.339,0.000236,0.18,0.704,105.008
4c1WgUnHXq2LEncGHKgj1I,Dream Glow (BTS World Original Soundtrack) - Pt. 1,7fEUnTEsnJOXEZtUYMKyOE,1,187457,https://p.scdn.co/mp3-preview/803b657c8914456ca28dfddc0add7cdad456cdac?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.735,0.74,0,-3.837,0,0.0519,0.0967,0.0,0.101,0.541,141.948
7Eiwn5pyUzVmj2UJnQSsuE,FAKE LOVE - Japanese ver.,1v6mgJ29d4Ta3ZUfF0P18W,1,244813,https://p.scdn.co/mp3-preview/ac22bccc08f35f2ac0d8dc8b6c85824d8de87a1e?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.577,0.746,2,-4.284,0,0.0386,0.00283,0.0,0.29,0.382,77.493
56C1UvPHIRtuLKV3qLtEJ6,Airplane pt.2 - Japanese ver.,1v6mgJ29d4Ta3ZUfF0P18W,2,220920,https://p.scdn.co/mp3-preview/1bd2a2d5d39e6c4a95106165dd7c17ab157ced22?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.77,0.803,0,-4.189,0,0.0301,0.0539,0.0,0.0812,0.903,140.02
